"GEO_ID","NAME","B01001C_001E","B01001C_001M","B01001C_002E","B01001C_002M","B01001C_003E","B01001C_003M","B01001C_004E","B01001C_004M","B01001C_005E","B01001C_005M","B01001C_006E","B01001C_006M","B01001C_007E","B01001C_007M","B01001C_008E","B01001C_008M","B01001C_009E","B01001C_009M","B01001C_010E","B01001C_010M","B01001C_011E","B01001C_011M","B01001C_012E","B01001C_012M","B01001C_013E","B01001C_013M","B01001C_014E","B01001C_014M","B01001C_015E","B01001C_015M","B01001C_016E","B01001C_016M","B01001C_017E","B01001C_017M","B01001C_018E","B01001C_018M","B01001C_019E","B01001C_019M","B01001C_020E","B01001C_020M","B01001C_021E","B01001C_021M","B01001C_022E","B01001C_022M","B01001C_023E","B01001C_023M","B01001C_024E","B01001C_024M","B01001C_025E","B01001C_025M","B01001C_026E","B01001C_026M","B01001C_027E","B01001C_027M","B01001C_028E","B01001C_028M","B01001C_029E","B01001C_029M","B01001C_030E","B01001C_030M","B01001C_031E","B01001C_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"310M400US28180","Kapaa, HI Micro Area","392","122","174","72","0","26","3","6","18","29","0","26","0","26","26","31","0","26","10","12","9","10","32","26","70","34","6","6","0","26","0","26","218","79","0","26","14","13","9","13","0","26","0","26","17","20","13","21","25","38","38","36","55","35","33","34","3","5","11","18","0","26"
"310M400US28260","Kearney, NE Micro Area","95","49","65","28","6","8","3","6","0","22","0","22","0","22","0","22","0","22","20","17","21","26","0","22","0","22","15","18","0","22","0","22","30","27","0","22","6","9","0","22","0","22","5","8","0","22","0","22","0","22","2","4","17","24","0","22","0","22","0","22","0","22"
"310M400US28300","Keene, NH Micro Area","144","76","28","24","4","10","0","27","0","27","0","27","0","27","0","27","1","5","0","27","0","27","2","4","7","9","6","9","8","12","0","27","116","68","9","13","0","27","18","30","0","27","12","18","21","19","0","27","4","8","34","40","5","7","11","16","2","4","0","27","0","27"
"310M400US28020","Kalamazoo-Portage, MI Metro Area","1451","398","756","219","28","28","99","48","117","79","60","40","77","48","45","48","17","17","30","28","112","70","40","28","68","34","52","26","2","4","9","15","695","206","11","11","151","81","38","23","72","48","19","20","46","36","53","39","35","33","101","64","64","28","91","35","9","11","2","4","3","6"
"310M400US28060","Kalispell, MT Micro Area","1553","294","729","151","0","23","76","64","26","34","30","36","8","10","22","37","17","24","141","95","156","81","56","45","105","64","63","78","29","39","0","23","824","211","0","23","87","65","75","89","20","31","31","46","0","23","17","26","163","112","92","58","130","68","112","56","42","37","33","34","22","24"
"310M400US28100","Kankakee, IL Metro Area","230","65","57","31","15","17","0","26","9","12","0","26","0","26","0","26","0","26","3","6","0","26","6","10","17","19","7","11","0","26","0","26","173","50","14","17","0","26","9","12","0","26","0","26","25","26","19","23","10","16","54","57","11","21","0","26","31","28","0","26","0","26"
"310M400US28140","Kansas City, MO-KS Metro Area","8593","635","4237","374","129","80","156","80","278","115","163","94","103","81","416","217","369","170","389","139","527","126","754","165","515","98","300","97","114","69","24","28","4356","473","101","57","297","127","207","92","157","81","226","123","173","120","413","162","250","100","687","160","697","199","685","128","283","72","118","52","62","42"
"310M400US27020","Iron Mountain, MI-WI Micro Area","342","73","160","101","4","6","59","60","7","9","4","8","0","21","0","21","10","16","0","21","61","56","9","13","6","11","0","21","0","21","0","21","182","63","30","49","13","17","15","18","0","21","0","21","5","10","0","21","0","21","62","56","0","21","6","11","47","67","4","6","0","21"
"310M400US27060","Ithaca, NY Metro Area","224","86","65","51","0","28","0","28","0","28","0","28","5","11","16","21","0","28","0","28","0","28","31","37","9","15","4","6","0","28","0","28","159","76","0","28","0","28","45","50","0","28","16","20","50","40","0","28","5","8","12","18","25","31","0","28","6","9","0","28","0","28"
"310M400US27100","Jackson, MI Metro Area","694","132","451","130","0","23","108","69","0","23","45","52","0","23","29","25","53","38","19","17","48","32","57","27","71","31","21","19","0","23","0","23","243","89","26","35","62","45","0","23","0","23","16","24","12","19","10","14","14","15","16","18","56","39","18","17","13","14","0","23","0","23"
"310M400US27140","Jackson, MS Metro Area","848","175","559","141","0","30","8","12","51","61","12","19","30","31","33","34","29","28","11","21","149","123","160","88","43","37","15","17","18","24","0","30","289","91","4","9","0","30","0","30","29","35","32","38","42","35","36","34","0","30","28","26","43","34","23","25","30","21","16","25","6","10"
"310M400US27160","Jackson, OH Micro Area","13","20","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","13","20","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","13","20","0","24","0","24","0","24"
"310M400US27180","Jackson, TN Metro Area","111","67","109","66","0","29","0","29","2","4","0","29","33","42","0","29","0","29","0","29","24","43","33","26","17","19","0","29","0","29","0","29","2","4","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","2","4","0","29","0","29"
"310M400US27220","Jackson, WY-ID Micro Area","118","114","60","92","0","24","44","88","0","24","0","24","0","24","2","7","0","24","11","21","0","24","3","8","0","24","0","24","0","24","0","24","58","68","0","24","0","24","0","24","0","24","2","6","0","24","25","43","0","24","0","24","0","24","1","4","30","53","0","24","0","24"
"310M400US27260","Jacksonville, FL Metro Area","3536","492","1699","282","44","45","56","65","56","54","76","49","97","96","182","96","56","47","77","69","358","167","284","116","319","129","84","40","10","12","0","31","1837","362","55","57","69","54","122","91","35","41","85","102","97","77","123","88","38","36","409","180","221","112","347","130","143","72","78","91","15","17"
"310M400US27300","Jacksonville, IL Micro Area","88","45","38","27","0","23","6","5","0","23","7","15","7","15","10","14","0","23","0","23","2","3","0","23","5","8","1","3","0","23","0","23","50","38","4","6","0","23","6","5","0","23","0","23","37","40","0","23","0","23","3","6","0","23","0","23","0","23","0","23","0","23"
