"GEO_ID","NAME","B01001I_001E","B01001I_001M","B01001I_002E","B01001I_002M","B01001I_003E","B01001I_003M","B01001I_004E","B01001I_004M","B01001I_005E","B01001I_005M","B01001I_006E","B01001I_006M","B01001I_007E","B01001I_007M","B01001I_008E","B01001I_008M","B01001I_009E","B01001I_009M","B01001I_010E","B01001I_010M","B01001I_011E","B01001I_011M","B01001I_012E","B01001I_012M","B01001I_013E","B01001I_013M","B01001I_014E","B01001I_014M","B01001I_015E","B01001I_015M","B01001I_016E","B01001I_016M","B01001I_017E","B01001I_017M","B01001I_018E","B01001I_018M","B01001I_019E","B01001I_019M","B01001I_020E","B01001I_020M","B01001I_021E","B01001I_021M","B01001I_022E","B01001I_022M","B01001I_023E","B01001I_023M","B01001I_024E","B01001I_024M","B01001I_025E","B01001I_025M","B01001I_026E","B01001I_026M","B01001I_027E","B01001I_027M","B01001I_028E","B01001I_028M","B01001I_029E","B01001I_029M","B01001I_030E","B01001I_030M","B01001I_031E","B01001I_031M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over"
"310M400US28180","Kapaa, HI Micro Area","7802","*****","3892","*****","615","*****","502","95","280","94","182","*****","103","*****","251","*****","270","*****","278","*****","465","*****","388","*****","310","*****","173","*****","64","10","11","10","3910","*****","602","*****","492","99","280","99","164","*****","28","29","302","29","291","*****","271","*****","438","*****","382","*****","343","*****","189","*****","128","4","0","26"
"310M400US28260","Kearney, NE Micro Area","4725","*****","2425","27","311","22","342","51","151","54","156","19","125","55","268","54","201","12","163","3","269","84","240","83","135","55","46","55","18","17","0","22","2300","26","240","17","311","64","221","63","97","8","131","42","234","46","182","5","199","19","258","64","157","69","181","46","48","41","36","25","5","7"
"310M400US28300","Keene, NH Micro Area","1354","*****","704","75","79","36","13","18","58","45","68","56","108","85","110","104","4","7","48","59","114","62","11","17","67","37","24","26","0","27","0","27","650","75","36","36","70","55","112","85","3","4","115","54","123","77","33","39","10","14","48","56","41","34","46","27","6","8","7","7","0","27"
"310M400US28020","Kalamazoo-Portage, MI Metro Area","21179","*****","10908","*****","1236","*****","1165","129","1083","128","595","*****","454","*****","1339","*****","917","*****","763","*****","1373","*****","956","*****","613","*****","282","56","120","55","12","14","10271","*****","1150","*****","1263","131","943","131","597","*****","475","*****","1257","*****","729","*****","707","*****","1273","*****","887","*****","552","*****","360","52","78","51","0","23"
"310M400US28060","Kalispell, MT Micro Area","2652","*****","1303","70","127","65","43","41","188","40","68","48","90","89","141","107","58","52","145","73","236","84","31","42","103","46","46","41","16","18","11","17","1349","70","101","65","149","37","80","37","94","48","7","11","192","41","37","38","138","83","216","86","90","59","179","45","35","31","15","25","16","25"
"310M400US28100","Kankakee, IL Metro Area","11317","*****","6008","*****","549","*****","626","106","640","106","341","*****","219","*****","599","*****","478","*****","442","*****","908","*****","621","*****","345","*****","202","31","23","23","15","23","5309","*****","532","*****","755","149","481","148","350","*****","224","*****","476","*****","380","*****","404","*****","742","*****","521","*****","232","*****","163","38","21","29","28","28"
"310M400US28140","Kansas City, MO-KS Metro Area","187549","*****","96200","183","9601","39","10541","449","10501","452","5440","109","2886","108","7464","201","7253","167","7885","68","14846","157","9903","189","6023","124","2511","77","1119","119","227","110","91349","181","9397","67","10393","467","9537","469","5097","115","2913","111","6930","133","6823","35","7034","164","13313","203","9301","105","5791","65","2844","60","1509","124","467","109"
"310M400US27020","Iron Mountain, MI-WI Micro Area","442","48","253","62","18","24","22","25","33","30","19","20","16","14","17","13","9","15","53","46","37","21","9","13","5","7","15","13","0","21","0","21","189","42","27","26","14","19","27","34","14","17","11","9","48","40","0","21","9","11","10","11","17","17","3","4","9","16","0","21","0","21"
"310M400US27060","Ithaca, NY Metro Area","5156","*****","2626","62","246","49","144","54","110","54","95","38","507","106","456","106","256","*****","312","96","95","65","222","91","87","47","87","47","9","14","0","28","2530","62","100","49","166","53","86","53","73","38","371","103","657","103","260","*****","173","*****","278","68","153","68","150","35","52","32","0","28","11","15"
"310M400US27100","Jackson, MI Metro Area","5523","*****","2878","*****","260","*****","260","73","334","73","141","*****","44","44","320","44","245","*****","165","63","458","63","285","*****","188","*****","113","35","33","27","32","32","2645","*****","240","*****","259","65","318","65","154","*****","112","77","237","76","216","*****","192","*****","283","*****","271","*****","185","*****","98","*****","59","24","21","24"
"310M400US27140","Jackson, MS Metro Area","13744","60","7362","406","670","206","637","152","753","188","380","145","238","109","414","162","823","168","789","225","1427","246","742","200","249","99","156","80","58","39","26","27","6382","407","1034","209","658","228","515","131","392","247","189","100","461","173","513","157","535","152","1007","145","428","140","364","125","94","59","114","65","78","63"
"310M400US27160","Jackson, OH Micro Area","341","*****","187","74","0","24","13","22","28","33","64","41","36","54","0","24","19","23","0","24","27","31","0","24","0","24","0","24","0","24","0","24","154","74","0","24","48","62","42","29","0","24","0","24","0","24","0","24","12","21","26","31","0","24","17","19","9","21","0","24","0","24"
"310M400US27180","Jackson, TN Metro Area","5395","165","2690","181","303","124","299","73","305","72","206","134","130","65","273","75","114","62","242","53","423","103","212","103","95","49","88","46","0","29","0","29","2705","195","411","119","345","106","322","89","124","116","161","83","163","63","169","70","286","104","298","95","202","100","120","53","79","53","21","33","4","8"
"310M400US27220","Jackson, WY-ID Micro Area","5328","*****","2723","256","163","81","410","236","214","127","169","112","224","94","97","68","142","112","296","131","560","185","297","173","151","88","0","24","0","24","0","24","2605","256","290","235","386","150","244","105","28","38","8","13","117","62","336","100","179","112","613","134","233","130","143","82","28","47","0","24","0","24"
"310M400US27260","Jacksonville, FL Metro Area","125901","*****","63495","146","5536","115","6029","484","4560","484","2770","73","2061","217","5144","237","5931","95","5843","118","9829","138","7262","142","4771","36","2542","137","815","178","402","168","62406","146","5225","81","5632","433","4461","433","2778","58","1770","13","4742","98","5125","88","5247","69","9371","97","7594","68","5376","64","3188","118","1299","190","598","177"
"310M400US27300","Jacksonville, IL Micro Area","878","*****","539","101","54","71","13","26","63","68","1","2","42","29","100","37","46","39","50","39","88","43","39","28","0","23","15","21","28","35","0","23","339","101","51","74","28","31","8","12","3","7","26","24","71","47","16","24","3","6","39","32","52","51","30","43","6","12","2","5","4","8"
"310M400US27340","Jacksonville, NC Metro Area","24094","*****","13994","*****","1518","*****","1114","233","747","233","395","*****","1016","*****","3833","*****","1723","*****","1263","*****","1284","*****","538","*****","355","*****","160","44","48","44","0","29","10100","*****","1444","*****","824","197","951","197","384","*****","366","*****","1657","*****","1150","*****","971","*****","1135","*****","554","*****","368","*****","111","66","159","51","26","31"
"310M400US27380","Jacksonville, TX Micro Area","11855","*****","6415","*****","722","*****","752","112","621","112","405","*****","272","*****","581","*****","447","*****","412","*****","857","*****","715","*****","380","*****","144","74","102","73","5","17","5440","*****","697","*****","634","113","574","113","339","*****","220","*****","447","*****","425","*****","359","*****","731","*****","528","*****","270","*****","152","38","27","25","37","36"
"310M400US27420","Jamestown, ND Micro Area","507","*****","339","58","108","58","0","17","22","36","14","25","36","26","72","97","0","17","66","65","17","18","0","17","4","7","0","17","0","17","0","17","168","58","3","4","41","61","0","17","17","26","9","14","9","13","70","53","19","36","0","17","0","17","0","17","0","17","0","17","0","17"
"310M400US27460","Jamestown-Dunkirk-Fredonia, NY Micro Area","9585","*****","4920","*****","483","*****","484","99","482","99","287","*****","249","*****","509","*****","414","*****","398","*****","584","*****","455","*****","354","*****","174","26","24","18","23","23","4665","*****","502","*****","466","93","478","94","299","*****","198","*****","405","*****","365","*****","341","*****","601","*****","450","*****","307","*****","185","44","68","44","0","28"
"310M400US27500","Janesville-Beloit, WI Metro Area","13782","*****","7187","*****","765","*****","927","166","780","167","471","*****","300","*****","592","*****","502","*****","514","*****","1062","*****","689","*****","354","*****","182","48","28","33","21","30","6595","*****","695","*****","726","157","926","157","456","*****","281","*****","552","*****","421","*****","474","*****","921","*****","625","*****","283","*****","153","*****","60","18","22","18"
"310M400US27540","Jasper, IN Micro Area","3216","86","1649","169","145","122","179","97","270","107","60","69","35","51","215","145","157","125","51","61","244","118","248","122","19","34","2","4","24","28","0","27","1567","156","251","126","265","124","112","83","119","72","118","101","43","46","66","65","107","76","362","97","80","78","21","24","11","17","10","16","2","4"
"310M400US27580","Jayuya, PR Micro Area","14849","62","7400","184","256","132","403","142","585","142","524","82","213","43","603","21","547","21","452","21","938","21","882","21","928","21","674","21","206","70","189","70","7449","173","540","132","473","134","492","134","125","82","153","127","571","127","511","21","466","21","943","21","999","46","945","21","734","21","330","70","167","70"
"310M400US27600","Jefferson, GA Micro Area","4850","*****","2369","42","232","*****","294","90","224","89","54","43","125","127","119","103","174","121","214","*****","431","*****","270","*****","110","65","95","68","27","27","0","31","2481","42","241","*****","320","87","195","87","218","43","10","14","110","82","291","88","188","*****","292","122","343","122","138","56","85","57","28","37","22","32"
"310M400US27620","Jefferson City, MO Metro Area","3907","*****","1907","186","152","89","99","72","254","102","159","64","113","72","152","63","141","65","135","71","309","116","218","117","89","59","63","42","19","24","4","6","2000","186","246","101","185","118","256","123","135","56","108","74","109","83","86","64","107","64","157","63","306","99","125","72","109","79","38","36","33","37"
"310M400US27660","Jennings, LA Micro Area","741","*****","504","64","47","66","46","46","66","64","0","26","0","26","117","73","73","95","0","26","10","22","65","45","64","28","16","21","0","26","0","26","237","64","74","56","0","26","0","26","36","42","0","26","0","26","11","21","47","35","17","27","12","19","12","14","17","19","2","4","9","15"
"310M400US27700","Jesup, GA Micro Area","1853","*****","1008","112","121","60","132","88","0","25","17","34","106","93","36","54","54","39","150","110","235","116","125","59","32","32","0","25","0","25","0","25","845","112","102","96","106","61","59","44","71","66","26","47","46","52","9","13","150","150","128","104","78","79","70","61","0","25","0","25","0","25"
"310M400US27740","Johnson City, TN Metro Area","6110","*****","3307","194","286","110","310","78","385","91","176","78","113","72","447","194","287","129","301","49","514","94","196","79","172","107","120","72","0","29","0","29","2803","193","344","115","276","103","290","109","114","53","129","67","317","129","151","83","136","63","427","101","208","99","259","95","90","75","41","39","21","24"
"310M400US27780","Johnstown, PA Metro Area","2125","*****","1158","21","106","*****","74","30","138","31","53","21","20","19","106","37","118","38","81","41","149","53","152","38","74","*****","44","28","43","28","0","24","967","21","83","*****","161","20","27","21","42","21","58","32","88","31","42","27","52","32","129","57","101","46","63","*****","34","22","28","20","59","22"
"310M400US27860","Jonesboro, AR Metro Area","5960","*****","3251","78","346","25","464","106","301","105","226","56","162","94","224","88","239","16","300","19","600","89","175","89","132","62","51","39","27","29","4","6","2709","78","336","21","425","70","280","70","127","56","174","74","171","70","229","19","80","50","483","99","224","95","111","61","64","40","5","7","0","28"
"310M400US27900","Joplin, MO Metro Area","12428","*****","6328","82","748","68","702","174","795","175","345","36","272","111","565","120","489","65","418","40","914","142","540","136","321","73","168","64","51","49","0","26","6100","82","862","68","591","127","859","127","374","36","171","75","577","79","401","43","419","*****","827","*****","540","*****","281","75","140","77","52","38","6","9"
