id,Geographic Area Name,EstimateTotal,EstimateTotalMale,EstimateTotalMaleUnder 5 years,EstimateTotalMale5 to 9 years,EstimateTotalMale10 to 14 years,EstimateTotalMale15 to 17 years,EstimateTotalMale18 and 19 years,EstimateTotalMale20 to 24 years,EstimateTotalMale25 to 29 years,EstimateTotalMale30 to 34 years,EstimateTotalMale35 to 44 years,EstimateTotalMale45 to 54 years,EstimateTotalMale55 to 64 years,EstimateTotalMale65 to 74 years,EstimateTotalMale75 to 84 years,EstimateTotalMale85 years and over,EstimateTotalFemale,EstimateTotalFemaleUnder 5 years,EstimateTotalFemale5 to 9 years,EstimateTotalFemale10 to 14 years,EstimateTotalFemale15 to 17 years,EstimateTotalFemale18 and 19 years,EstimateTotalFemale20 to 24 years,EstimateTotalFemale25 to 29 years,EstimateTotalFemale30 to 34 years,EstimateTotalFemale35 to 44 years,EstimateTotalFemale45 to 54 years,EstimateTotalFemale55 to 64 years,EstimateTotalFemale65 to 74 years,EstimateTotalFemale75 to 84 years,EstimateTotalFemale85 years and over
310M400US28180,"Kapaa, HI Micro Area",482,311,7,11,24,0,0,9,86,0,47,18,38,28,43,0,171,0,0,34,0,0,0,8,25,0,59,2,43,0,0
310M400US28260,"Kearney, NE Micro Area",571,397,1,0,21,19,69,55,25,117,62,1,27,0,0,0,174,0,20,4,0,15,52,8,16,15,6,34,4,0,0
310M400US28300,"Keene, NH Micro Area",587,348,0,0,55,3,27,119,0,27,44,22,3,31,0,17,239,13,29,0,4,62,88,0,0,0,16,27,0,0,0
310M400US28020,"Kalamazoo-Portage, MI Metro Area",30936,14816,1113,995,1426,759,649,1663,1184,926,1756,1696,1446,812,333,58,16120,1153,944,1110,761,717,2310,1070,913,2017,1825,1605,1055,445,195
310M400US28060,"Kalispell, MT Micro Area",357,311,0,31,18,1,0,0,0,25,136,45,18,16,21,0,46,22,0,0,0,0,0,0,13,0,0,0,11,0,0
310M400US28100,"Kankakee, IL Metro Area",16716,8112,689,614,818,475,307,642,624,523,911,905,863,472,184,85,8604,720,690,582,369,212,643,703,572,1081,1043,1006,567,279,137
310M400US28140,"Kansas City, MO-KS Metro Area",261797,125217,9593,10371,10840,5981,3492,9871,9969,8403,15464,15906,14289,7349,2957,732,136580,9461,10483,8991,5837,3497,9681,10079,9772,17817,17812,16589,9680,4734,2147
310M400US27020,"Iron Mountain, MI-WI Micro Area",170,122,8,7,12,0,8,16,33,0,12,6,4,16,0,0,48,0,0,0,6,5,4,5,11,0,6,0,11,0,0
310M400US27060,"Ithaca, NY Metro Area",4272,2195,69,68,74,126,517,251,170,198,218,211,127,90,0,76,2077,42,7,86,39,440,520,72,37,387,122,211,73,9,32
310M400US27100,"Jackson, MI Metro Area",12687,7529,405,459,483,252,291,602,741,671,1361,1070,741,299,78,76,5158,401,333,480,307,160,468,490,298,568,639,540,271,127,76
310M400US27140,"Jackson, MS Metro Area",285789,133914,9957,11044,11225,6790,4779,11652,10853,9545,17211,15461,14218,7633,2589,957,151875,9823,10367,11405,6818,5009,12211,11945,11048,20419,18896,17731,9801,4241,2161
310M400US27160,"Jackson, OH Micro Area",202,119,0,0,13,0,0,0,13,0,25,3,12,47,0,6,83,0,14,0,0,0,0,0,13,0,0,15,0,30,11
310M400US27180,"Jackson, TN Metro Area",40243,18342,1350,1296,1726,931,783,1634,1190,1081,2144,2328,2133,1221,421,104,21901,1366,1397,1545,936,971,1874,1559,1292,2763,2869,2804,1586,581,358
310M400US27220,"Jackson, WY-ID Micro Area",291,192,70,74,0,0,0,16,14,0,11,0,7,0,0,0,99,0,0,0,0,0,1,0,70,0,0,0,28,0,0
310M400US27260,"Jacksonville, FL Metro Area",316574,148546,11809,12337,12666,7497,4716,12420,12544,10335,18222,18596,15636,7849,3077,842,168028,11595,11574,12455,7214,4177,12377,13994,12183,22670,22304,19246,10982,5056,2201
310M400US27300,"Jacksonville, IL Micro Area",2377,1627,87,28,68,0,85,271,201,156,384,143,55,88,61,0,750,39,117,27,32,92,109,40,104,22,23,83,35,12,15
310M400US27340,"Jacksonville, NC Metro Area",27479,14515,706,961,758,429,1302,2458,1466,1093,1650,1318,1374,637,329,34,12964,810,910,865,609,344,1315,1096,943,1635,1481,1515,812,502,127
310M400US27380,"Jacksonville, TX Micro Area",7044,3783,353,235,180,141,257,219,256,238,376,665,477,252,94,40,3261,195,230,159,88,62,298,226,195,428,430,472,249,199,30
310M400US27420,"Jamestown, ND Micro Area",263,191,0,0,8,8,32,39,12,8,28,0,43,0,13,0,72,24,0,9,0,0,11,1,0,27,0,0,0,0,0
310M400US27460,"Jamestown-Dunkirk-Fredonia, NY Micro Area",3326,1925,84,74,58,91,198,285,178,113,305,254,169,74,27,15,1401,78,115,110,55,131,263,51,102,100,169,76,73,78,0
310M400US27500,"Janesville-Beloit, WI Metro Area",7081,3586,278,273,287,221,159,278,257,223,429,503,388,181,109,0,3495,192,316,194,165,127,313,232,336,409,453,388,236,130,4
310M400US27540,"Jasper, IN Micro Area",314,220,38,0,0,23,9,9,0,8,43,28,17,9,36,0,94,0,0,47,24,0,0,0,0,9,2,0,0,12,0
310M400US27580,"Jayuya, PR Micro Area",303,196,0,0,0,49,15,37,16,0,50,0,23,6,0,0,107,0,0,40,0,0,0,0,0,46,0,12,0,9,0
310M400US27600,"Jefferson, GA Micro Area",4393,2270,97,200,102,81,72,212,151,178,368,272,316,136,74,11,2123,65,226,101,87,33,54,227,145,375,271,251,103,130,55
310M400US27620,"Jefferson City, MO Metro Area",11542,7008,412,351,352,206,349,791,889,817,1260,784,527,263,7,0,4534,400,326,291,197,447,479,383,279,528,461,405,216,85,37
310M400US27660,"Jennings, LA Micro Area",5215,2641,199,183,213,211,179,111,201,173,322,234,332,160,90,33,2574,219,186,131,38,90,179,169,164,278,354,375,214,87,90
310M400US27700,"Jesup, GA Micro Area",5935,3151,219,227,230,98,93,204,266,280,525,403,329,252,25,0,2784,270,250,175,190,145,141,153,222,238,330,327,210,119,14
310M400US27740,"Johnson City, TN Metro Area",6265,3372,184,280,244,73,227,221,278,242,464,422,489,183,54,11,2893,277,97,121,87,313,295,178,183,320,313,386,195,77,51
310M400US27780,"Johnstown, PA Metro Area",4479,2567,163,166,251,125,106,204,204,140,387,343,281,133,51,13,1912,107,192,147,85,95,164,128,107,216,201,216,131,55,68
310M400US27860,"Jonesboro, AR Metro Area",15771,7298,747,730,759,546,201,860,726,590,909,535,458,172,64,1,8473,729,910,603,330,492,869,921,776,1155,735,578,250,120,5
310M400US27900,"Joplin, MO Metro Area",2971,1518,113,73,60,63,29,122,158,123,265,192,239,81,0,0,1453,165,188,117,75,42,154,192,92,125,90,131,50,20,12
310M400US27920,"Junction City, KS Micro Area",6334,3473,432,363,124,33,75,572,503,310,388,263,247,129,11,23,2861,362,309,162,55,132,370,362,243,272,205,196,110,57,26
310M400US27940,"Juneau, AK Micro Area",325,197,0,0,0,0,0,8,73,0,4,67,31,14,0,0,128,0,11,0,11,39,0,5,6,17,5,17,17,0,0
310M400US27980,"Kahului-Wailuku-Lahaina, HI Metro Area",970,629,0,64,0,0,3,45,86,38,57,94,128,83,0,31,341,0,3,58,9,0,13,6,77,34,21,23,53,30,14
310M400US19860,"Dickinson, ND Micro Area",689,519,0,13,15,5,16,104,124,21,51,131,39,0,0,0,170,39,0,14,0,7,2,52,0,27,29,0,0,0,0
