id	Geographic Area Name	EstimateTotalTotal population	EstimateMaleTotal population	EstimateFemaleTotal population	EstimatePercentTotal populationAGEUnder 5 years	EstimatePercent MaleTotal populationAGEUnder 5 years	EstimatePercent FemaleTotal populationAGEUnder 5 years	EstimatePercentTotal populationAGE5 to 9 years	EstimatePercent MaleTotal populationAGE5 to 9 years	EstimatePercent FemaleTotal populationAGE5 to 9 years	EstimatePercentTotal populationAGE10 to 14 years	EstimatePercent MaleTotal populationAGE10 to 14 years	EstimatePercent FemaleTotal populationAGE10 to 14 years	EstimatePercentTotal populationAGE15 to 19 years	EstimatePercent MaleTotal populationAGE15 to 19 years	EstimatePercent FemaleTotal populationAGE15 to 19 years	EstimatePercentTotal populationAGE20 to 24 years	EstimatePercent MaleTotal populationAGE20 to 24 years	EstimatePercent FemaleTotal populationAGE20 to 24 years	EstimatePercentTotal populationAGE25 to 29 years	EstimatePercent MaleTotal populationAGE25 to 29 years	EstimatePercent FemaleTotal populationAGE25 to 29 years	EstimatePercentTotal populationAGE30 to 34 years	EstimatePercent MaleTotal populationAGE30 to 34 years	EstimatePercent FemaleTotal populationAGE30 to 34 years	EstimatePercentTotal populationAGE35 to 39 years	EstimatePercent MaleTotal populationAGE35 to 39 years	EstimatePercent FemaleTotal populationAGE35 to 39 years	EstimatePercentTotal populationAGE40 to 44 years	EstimatePercent MaleTotal populationAGE40 to 44 years	EstimatePercent FemaleTotal populationAGE40 to 44 years	EstimatePercentTotal populationAGE45 to 49 years	EstimatePercent MaleTotal populationAGE45 to 49 years	EstimatePercent FemaleTotal populationAGE45 to 49 years	EstimatePercentTotal populationAGE50 to 54 years	EstimatePercent MaleTotal populationAGE50 to 54 years	EstimatePercent FemaleTotal populationAGE50 to 54 years	EstimatePercentTotal populationAGE55 to 59 years	EstimatePercent MaleTotal populationAGE55 to 59 years	EstimatePercent FemaleTotal populationAGE55 to 59 years	EstimatePercentTotal populationAGE60 to 64 years	EstimatePercent MaleTotal populationAGE60 to 64 years	EstimatePercent FemaleTotal populationAGE60 to 64 years	EstimatePercentTotal populationAGE65 to 69 years	EstimatePercent MaleTotal populationAGE65 to 69 years	EstimatePercent FemaleTotal populationAGE65 to 69 years	EstimatePercentTotal populationAGE70 to 74 years	EstimatePercent MaleTotal populationAGE70 to 74 years	EstimatePercent FemaleTotal populationAGE70 to 74 years	EstimatePercentTotal populationAGE75 to 79 years	EstimatePercent MaleTotal populationAGE75 to 79 years	EstimatePercent FemaleTotal populationAGE75 to 79 years	EstimatePercentTotal populationAGE80 to 84 years	EstimatePercent MaleTotal populationAGE80 to 84 years	EstimatePercent FemaleTotal populationAGE80 to 84 years	EstimatePercentTotal populationAGE85 years and over	EstimatePercent MaleTotal populationAGE85 years and over	EstimatePercent FemaleTotal populationAGE85 years and over
310M400US10100	"Aberdeen, SD Micro Area"	42780	21068	21712	6.4	6.8	6	7.1	6.9	7.2	6.4	6.7	6.1	7	6.5	7.5	7.1	7.9	6.5	7	7.2	6.7	6.1	6.1	6.1	5.9	5.6	6.2	4.9	5.6	4.3	5.5	5.9	5.1	6.4	6.6	6.2	6.9	6.7	7.2	6.3	6.4	6.2	5.2	4.9	5.4	3.5	3.6	3.3	3.3	2.8	3.7	2.2	2	2.4	2.8	1.8	3.8
310M400US10140	"Aberdeen, WA Micro Area"	71967	36981	34986	5.6	5.5	5.6	5.8	5.7	5.9	5.8	5.7	5.9	5.6	5.8	5.4	5.2	5.7	4.8	5.9	6.3	5.5	5.8	6.1	5.6	6.3	6.6	6.1	5.2	5.6	4.8	6	6.2	5.9	6.7	6.8	6.6	8	8	8	7.8	7.1	8.5	7.5	7.5	7.5	4.9	4.5	5.4	3.2	3.2	3.1	2.2	2.1	2.3	2.5	1.7	3.3
310M400US10180	"Abilene, TX Metro Area"	170009	85988	84021	6.9	7	6.7	6.4	6.4	6.4	6.7	6.7	6.7	7.2	7.3	7.1	9.6	10.1	9.2	7.8	8.5	7.2	7	7.5	6.4	6.4	7.2	5.5	5	4.9	5.2	5.2	5.2	5.2	5.8	5.6	5.9	5.9	6	5.7	5.4	4.9	6	4.3	3.9	4.7	3.7	3.4	4	2.6	2.3	3	2.1	1.7	2.5	1.9	1.4	2.4
310M400US10220	"Ada, OK Micro Area"	38358	18768	19590	6.9	7.3	6.5	6.6	6.6	6.6	6.6	7	6.2	7	7.2	6.8	8.3	8.1	8.4	7.4	7.9	7	6.6	7	6.1	5.4	5.9	5	6	5.3	6.6	5.4	5.5	5.3	6	6	6	6	5.7	6.3	5.8	5.8	5.8	5	4.9	5	3.8	3.4	4.2	3.2	2.8	3.5	2.3	2	2.5	1.8	1.3	2.2
310M400US10260	"Adjuntas, PR Micro Area"	18181	8862	9319	4.9	5	4.7	5.9	5.4	6.4	6.5	7.4	5.7	6.6	6.4	6.7	7.1	8	6.3	6.4	6.6	6.1	6	5.8	6.1	5.5	5.4	5.7	6.2	5.9	6.4	6.5	6.5	6.6	7	7	7	7	7.8	6.1	6.8	5.8	7.8	6.7	7.4	6	3.6	2.8	4.4	3	3.1	2.9	2.5	2.1	2.8	2	1.6	2.3
310M400US10300	"Adrian, MI Micro Area"	98474	49815	48659	5.4	5.4	5.3	5.7	5.9	5.5	6.3	6.5	6.2	6.8	7.2	6.4	6.7	7	6.3	5.7	6.1	5.2	5.6	5.9	5.3	6	6.5	5.5	6	6	6	6.6	6.9	6.4	7	6.9	7	7.4	7.3	7.5	7.1	6.8	7.4	6.3	5.7	7	4.3	4.2	4.3	3	2.6	3.4	2	1.8	2.2	2.2	1.3	3
310M400US10380	"Aguadilla-Isabela, PR Metro Area"	307555	149692	157863	4.5	4.7	4.2	5.3	5.6	5	6.2	6.6	5.9	6.7	7.1	6.4	6.7	7	6.4	6.2	6.4	6.1	5.7	5.7	5.8	6.1	6	6.3	6.4	6.6	6.3	6.5	6.4	6.6	6.9	6.7	7.2	6.6	6.8	6.4	6.8	6.3	7.3	6.1	6	6.1	5.2	5	5.5	3.7	3.6	3.8	2.2	2	2.4	2	1.6	2.4
310M400US10420	"Akron, OH Metro Area"	704454	342599	361855	5.4	5.7	5.1	5.6	5.8	5.3	6	6.3	5.7	6.9	7.1	6.7	7.6	7.7	7.4	6.7	7	6.4	5.9	6.1	5.8	5.7	5.8	5.7	5.7	5.8	5.6	6.5	6.5	6.5	7.1	7.1	7.1	7.4	7.5	7.4	6.9	6.7	7	5.6	5.4	5.8	3.9	3.7	4.1	2.9	2.6	3.1	1.9	1.6	2.1	2.4	1.6	3.1
310M400US10460	"Alamogordo, NM Micro Area"	65745	33886	31859	6.8	6.6	7	6.5	6.8	6.2	6.6	6.2	7	6.1	6.2	5.9	8.5	10.2	6.7	7.8	8.6	6.9	6.9	7.1	6.6	5.7	5.6	5.9	5.2	5.3	5.1	5.3	4.9	5.8	5.8	5.6	6.1	6.5	6.5	6.6	5.6	5.1	6.3	5.2	4.5	6.1	4.1	4.4	3.9	3.8	3.4	4.1	1.8	1.7	1.9	1.7	1.4	2.1
310M400US10500	"Albany, GA Metro Area"	153101	72607	80494	6.5	7	6	6.9	7.9	6.1	6.8	7.1	6.6	7.2	7.6	6.9	7.4	7.5	7.2	6.9	6.9	6.9	6.3	6.3	6.2	6.2	5.9	6.6	5.7	5.9	5.6	6	6	5.9	6.3	6.1	6.6	6.3	6.1	6.5	6.4	6.2	6.6	5.4	5.4	5.4	3.7	3.5	3.9	2.4	1.9	2.8	1.9	1.5	2.3	1.6	1.1	2.1
