id	Geographic Area Name	EstimatePercentRACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENTWhite aloneHigh school graduate or higher	"EstimatePercentRACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENTWhite alone, not Hispanic or LatinoHigh school graduate or higher"	EstimatePercentRACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENTBlack aloneHigh school graduate or higher	EstimatePercentRACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENTAmerican Indian or Alaska Native aloneHigh school graduate or higher	EstimatePercentRACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENTAsian aloneHigh school graduate or higher	EstimatePercentRACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENTNative Hawaiian and Other Pacific Islander aloneHigh school graduate or higher	EstimatePercentRACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENTSome other race aloneHigh school graduate or higher	EstimatePercentRACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENTTwo or more racesHigh school graduate or higher	EstimatePercentRACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENTHispanic or Latino OriginHigh school graduate or higher	EstimatePercentPOVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVELLess than high school graduate
310M400US10100	"Aberdeen, SD Micro Area"	93.8	93.8	76.4	91.2	68.8		42.9	80.8	87.9	23.1
310M400US10140	"Aberdeen, WA Micro Area"	89.3	91.2	94.2	85.9	85	67	61.5	87.6	60.2	22.9
310M400US10180	"Abilene, TX Metro Area"	89.9	92.1	78.2	94	84.5	100	68.2	81.1	72.5	26.8
310M400US10220	"Ada, OK Micro Area"	88.9	90.3	94.7	86.2	100		66.1	89.1	55.4	25.4
310M400US10260	"Adjuntas, PR Micro Area"	65.2	100	57.7	33.3	100		59	90.7	63.8	76.1
310M400US10300	"Adrian, MI Micro Area"	91.3	92.2	74.6	85.6	94.5	100	70.1	94.3	74.4	23.8
310M400US10380	"Aguadilla-Isabela, PR Metro Area"	68	82.5	71.3	23.5	81.6		70.8	71.4	68.3	67.4
310M400US10420	"Akron, OH Metro Area"	92.8	92.9	87.7	79.8	77.6	71.7	75.1	90.5	80.5	23.9
310M400US10460	"Alamogordo, NM Micro Area"	84.7	92.5	94.3	72.9	77.2	80	69.1	96.5	69	44.7
310M400US10500	"Albany, GA Metro Area"	88.1	88.3	79.5	93.3	77.4	86.2	54.5	82.7	70.1	39.9
310M400US10540	"Albany, OR Metro Area"	90.9	91.6	98.4	84.2	91.8	100	60.8	83.4	65.5	22.1
310M400US10580	"Albany-Schenectady-Troy, NY Metro Area"	93.7	94	84.3	75	86.1	89.4	70.9	84.5	82.3	23.4
310M400US10620	"Albemarle, NC Micro Area"	86.1	86.8	79.7	63	92.6	100	41.1	77.4	50.9	22.8
310M400US10660	"Albert Lea, MN Micro Area"	91.2	92.8	93.8	84.6	49.5	100	42.1	98.6	62.2	16.4
310M400US10700	"Albertville, AL Micro Area"	81.6	84.6	71.5	89.9	92.3	100	55.1	68.1	45.3	32.6
310M400US10740	"Albuquerque, NM Metro Area"	90.2	96.2	92.4	82.9	87.1	76.6	75.6	91.3	80.3	32.4
310M400US10760	"Alexander City, AL Micro Area"	85.7	85.9	67.2	42.4	77.6		24.7	85.8	44.5	28.9
310M400US10780	"Alexandria, LA Metro Area"	88	88.5	78.2	64.4	76	100	57.3	80.8	66.4	36.7
310M400US10820	"Alexandria, MN Micro Area"	95.5	95.6	84.4	64.8	72.9		66.9	80.2	66.9	20.9
310M400US10860	"Alice, TX Micro Area"	74.5	89.5	86	89.1	100	100	61.8	75.7	70.1	30.6
310M400US10900	"Allentown-Bethlehem-Easton, PA-NJ Metro Area"	90.9	92.3	86.9	78.1	86.9	35.2	70.2	84.5	74	19.8
310M400US10940	"Alma, MI Micro Area"	91.4	91.5	80	85.5	90.4	100	67.6	90.8	87.7	33.8
310M400US10980	"Alpena, MI Micro Area"	91.7	91.8	69.8	92	92.8	50	83.9	91.3	85.9	26
310M400US11020	"Altoona, PA Metro Area"	90.9	90.9	93.8	58.1	91.5	85.5	95.8	90.2	90.2	30.4
310M400US11060	"Altus, OK Micro Area"	88.1	90.7	82.3	95.5	92	100	46.8	71.5	53.9	36.8
310M400US11100	"Amarillo, TX Metro Area"	86.9	93	80	86.3	65.4	82.6	67.1	85.5	66.8	24
310M400US11140	"Americus, GA Micro Area"	89.9	90.7	72.2	100	85.7		62.7	88	67.3	38.3
310M400US11180	"Ames, IA Metro Area"	97.4	97.8	85.3	100	96.5	100	92.1	97.7	81	21.2
310M400US11220	"Amsterdam, NY Micro Area"	87.6	88.3	64.1	65.4	81.3		64.5	89.8	69.2	39
310M400US11260	"Anchorage, AK Metro Area"	95.5	95.8	93.8	87.6	81.4	88.6	81.3	93.5	86.1	17.9
310M400US11380	"Andrews, TX Micro Area"	75.5	89.4	96.4	-	100	100	46.4	23.2	60.1	17.1
310M400US11420	"Angola, IN Micro Area"	90.2	91.4	48.3	100	94.6	100	40.5	87.8	36.6	16.2
310M400US11460	"Ann Arbor, MI Metro Area"	96.4	96.7	88.9	84.4	95.9	74.6	80.3	92.8	84.7	24.5
310M400US11500	"Anniston-Oxford-Jacksonville, AL Metro Area"	85.2	85.3	82.4	82.9	86.6	0	41.6	77.9	61.2	29.2
310M400US11540	"Appleton, WI Metro Area"	94.8	95.2	83.6	90.2	77.8	100	60.3	93.2	69.4	18.6
310M400US11580	"Arcadia, FL Micro Area"	73.2	86.2	72.6	74.1	93.8	100	26.4	71.5	39.8	38.3
310M400US11620	"Ardmore, OK Micro Area"	87.9	88.8	85.8	87.2	91.5	100	59.9	87.6	67.1	30.3
310M400US11640	"Arecibo, PR Metro Area"	73.1	82.4	75.8	65.8	91		72.2	77.4	73.2	64
310M400US11660	"Arkadelphia, AR Micro Area"	89.3	89.9	90.1	93.2	91.3		61.8	100	64	27.3
310M400US11680	"Arkansas City-Winfield, KS Micro Area"	90.6	92	73	87.9	78.4	100	82.4	94.3	69.5	22.8
310M400US11700	"Asheville, NC Metro Area"	90.5	92	87.1	88.8	85.2	90	63.5	84.3	59.8	28.6
310M400US11740	"Ashland, OH Micro Area"	88.6	88.8	72.4	100	100		62.2	90.4	62.7	28.4
310M400US11780	"Ashtabula, OH Micro Area"	86.6	87	79	78.9	81.5	52.4	53	73.1	64.1	30.3
310M400US11820	"Astoria, OR Micro Area"	92.1	92.8	97.7	69.7	95.5	88.5	61.2	90.6	69.1	19.1
310M400US11860	"Atchison, KS Micro Area"	92.9	93.1	80.3	81	63.6		100	92.9	77.9	29.4
310M400US11900	"Athens, OH Micro Area"	89.3	89.3	95.4	100	97.5	100	75.5	87.4	79.5	37.9
310M400US11940	"Athens, TN Micro Area"	84.9	84.8	92.8	78	90.2	100	53.9	67.8	80.1	33.2
310M400US11980	"Athens, TX Micro Area"	84.2	86.9	81.5	71.1	62.3	100	55.3	85.9	54.2	24.9
310M400US12020	"Athens-Clarke County, GA Metro Area"	89.9	92.7	78.8	96.4	91.7	86.7	63.6	92.2	54.7	32.9
310M400US12060	"Atlanta-Sandy Springs-Roswell, GA Metro Area"	90.6	92.9	90	68.8	87	88.3	57.9	89.3	64.3	25.2
310M400US12100	"Atlantic City-Hammonton, NJ Metro Area"	90.2	93.1	82.3	91.6	77.9	72.5	67.8	86.3	69.6	26.8
310M400US12120	"Atmore, AL Micro Area"	85	85.1	74.9	85	11.7	100	100	68.9	80	34.7
310M400US12140	"Auburn, IN Micro Area"	90.3	90.4	81.1	86.4	94.1		89.9	81.5	87.2	16.4
310M400US12180	"Auburn, NY Micro Area"	89.7	90.2	51.7	83.1	84.8		54.8	78.1	54.9	24.2
310M400US12220	"Auburn-Opelika, AL Metro Area"	92.7	92.7	83.8	84.5	95.4	0	81	81.5	87.7	29
310M400US12260	"Augusta-Richmond County, GA-SC Metro Area"	89.2	90.1	81.8	80.5	88.4	94.1	68.7	95	71.5	31.1
310M400US12300	"Augusta-Waterville, ME Micro Area"	92	92	83.9	73	86	72.3	100	87.8	88.2	25.8
310M400US12380	"Austin, MN Micro Area"	89.5	92.4	86.4	97	41.5	0	36.2	63.9	43.7	25.3
310M400US12420	"Austin-Round Rock, TX Metro Area"	91	96.9	90.6	85.8	92.2	93	66.4	91.7	73.2	22.4
310M400US12460	"Bainbridge, GA Micro Area"	86.7	87.5	76.7	100	100		46.8	87.4	48.3	38.6
310M400US12540	"Bakersfield, CA Metro Area"	73.9	89.7	81.5	76.2	80.8	88.8	60.7	82.8	56.7	28.6
310M400US12580	"Baltimore-Columbia-Towson, MD Metro Area"	92.4	93.2	87.9	81.5	90.1	88.5	69	91.6	73.2	23.1
310M400US12620	"Bangor, ME Metro Area"	91.7	91.6	95.8	94.4	84.9	100	94.3	85.2	96.2	25
310M400US12660	"Baraboo, WI Micro Area"	91.1	91.5	77.1	84.9	94.5	0	60.1	90.5	69	18.8
310M400US12680	"Bardstown, KY Micro Area"	89.6	89.6	86.4	100	100		9.9	86.9	65.2	21.7
310M400US12700	"Barnstable Town, MA Metro Area"	96.1	96.3	87.2	96.5	83.8	100	75.2	89.3	83.6	14.9
310M400US12740	"Barre, VT Micro Area"	93.5	93.5	92.9	100	85	70.8	54.2	97.2	91.9	31.9
310M400US12780	"Bartlesville, OK Micro Area"	91.3	91.5	88.7	90.1	93.7	100	53.6	90.7	76.6	22.8
310M400US12820	"Bastrop, LA Micro Area"	84.5	84.5	74.1	0	71.2		100	46.7	63	43.9
310M400US12860	"Batavia, NY Micro Area"	92.8	93	83	89	93.7		50.3	100	61.6	22.5
310M400US12900	"Batesville, AR Micro Area"	86.5	87.3	87.6	7.8	57.7	50	65.3	90.8	59.6	30.4
310M400US12940	"Baton Rouge, LA Metro Area"	90.9	91.5	82.3	63.1	86.4	71.9	60.6	91	69.7	29.7
310M400US12980	"Battle Creek, MI Metro Area"	91.2	91.8	90.8	90.7	89.4	100	73.4	92.7	77.2	30.7
310M400US13020	"Bay City, MI Metro Area"	89.9	90.3	77.3	84.4	90.5		76.2	84.7	78.6	27.7
310M400US13060	"Bay City, TX Micro Area"	82	92.2	78.1	56.6	75	100	54.7	82.1	57.9	35.9
310M400US13100	"Beatrice, NE Micro Area"	89.9	89.8	71.5	88.3	100	100	82.3	81.8	92.5	24.3
310M400US13140	"Beaumont-Port Arthur, TX Metro Area"	86.5	90.4	85.1	75.8	72.3	100	63.8	82.6	62.9	25.6
310M400US13180	"Beaver Dam, WI Micro Area"	91.5	92	81.5	92.2	87.1		65.2	90.3	68.5	15.6
310M400US13220	"Beckley, WV Metro Area"	84.4	84.4	87	72.6	83.4	100	86.2	86.9	84.3	26.6
310M400US13260	"Bedford, IN Micro Area"	88.6	88.5	78.3	100	77.4	100	80.1	91.7	90	21.4
310M400US13300	"Beeville, TX Micro Area"	74.9	88.4	64	67.9	52.5	100	66.1	80.1	65.1	29.5
310M400US13340	"Bellefontaine, OH Micro Area"	91.3	91.3	85.7	92.6	100	100	23.5	97.4	86.7	22.7
310M400US13380	"Bellingham, WA Metro Area"	94.3	94.9	80.2	80.2	83.5	94.6	55.3	89.9	69.8	25.1
310M400US13420	"Bemidji, MN Micro Area"	93.4	93.4	93.2	79.9	95.5	100	100	96.1	89.8	30
310M400US13460	"Bend-Redmond, OR Metro Area"	94.3	95.2	89.6	80	81.5	100	67.4	84.2	74.4	19.5
310M400US13500	"Bennettsville, SC Micro Area"	76.4	78.1	76.8	62.5	85.5		54.7	68.9	47.8	38.3
310M400US13540	"Bennington, VT Micro Area"	92.2	92.1	90.7	55.6	91.6	100	100	73.4	97.6	23.2
310M400US13620	"Berlin, NH-VT Micro Area"	88.6	88.7	81	88.7	57.1	100	86.8	83.1	77.2	25.4
310M400US13660	"Big Rapids, MI Micro Area"	89.6	89.8	92.6	61.3	94.3	100	75.9	86.3	77	28.3
310M400US13700	"Big Spring, TX Micro Area"	80.2	87.7	87.6	53.4	82.7	44.4	59.8	80.7	64.1	25.6
310M400US13720	"Big Stone Gap, VA Micro Area"	76.1	76.2	62.2	80	95.3		40.4	57.4	69.4	29.6
310M400US13740	"Billings, MT Metro Area"	94.2	94.6	88.8	86.6	87.7	100	79	94.3	81.6	16.8
310M400US13780	"Binghamton, NY Metro Area"	91.4	91.5	81	94.8	82.8	91.7	63.7	82.1	77.9	32.1
310M400US13820	"Birmingham-Hoover, AL Metro Area"	89.7	90.4	86.9	77.8	86.5	82.5	53.9	88.9	60	29.3
310M400US13900	"Bismarck, ND Metro Area"	93.7	93.9	97.2	81.1	80.6	100	89.2	98.4	83.3	24.4
310M400US13940	"Blackfoot, ID Micro Area"	90.8	93.6	-	77.8	87.3		48.5	78.7	56.6	18.2
310M400US13980	"Blacksburg-Christiansburg-Radford, VA Metro Area"	89.6	89.8	88.5	85.6	95.9	100	80.5	88.8	76.4	27.5
310M400US14010	"Bloomington, IL Metro Area"	95.8	96.3	92.3	77.9	96.8	100	68.4	96.7	76.1	23.6
310M400US14020	"Bloomington, IN Metro Area"	91.2	91.4	88.8	88.3	91.7	100	86.1	87.8	80.9	28.2
310M400US14100	"Bloomsburg-Berwick, PA Metro Area"	90.4	90.5	89.2	82.7	94	100	49.3	96.1	63.3	23.3
310M400US14140	"Bluefield, WV-VA Micro Area"	82.7	82.7	85.7	81.1	99.5	100	100	91.8	84.9	28.6
310M400US14180	"Blytheville, AR Micro Area"	82	82.5	79.3	100	100	100	52	79.3	54.8	33.2
310M400US14220	"Bogalusa, LA Micro Area"	80.5	80.9	70.4	89.1	92.8	100	39.2	62.9	53.1	38
310M400US14260	"Boise City, ID Metro Area"	93	94.7	86.5	84	87.2	96.1	56.2	91.3	66.4	23.6
310M400US14300	"Bonham, TX Micro Area"	86.7	88.9	73.8	68.7	47.8	100	51.4	93.3	55.8	23.1
310M400US14340	"Boone, IA Micro Area"	94.2	94.5	100	100	100	100	87.2	95.1	71.2	21
310M400US14380	"Boone, NC Micro Area"	90.2	90.6	75.2	81.6	88	51.6	21.2	100	55.6	36.3
310M400US14420	"Borger, TX Micro Area"	85.8	87.8	73	83.8	73.3	100	74.3	95.2	75.9	21.6
310M400US14460	"Boston-Cambridge-Newton, MA-NH Metro Area"	94	95.2	85.1	84.8	85.7	92.3	68.9	78.7	71	23.7
310M400US14500	"Boulder, CO Metro Area"	96	98.2	91.7	86.4	90.3	100	68.4	91.7	73.4	20.9
310M400US14540	"Bowling Green, KY Metro Area"	86.6	87.1	86.7	57.3	59.3	71.7	49.9	85.7	57.4	28.3
310M400US14580	"Bozeman, MT Micro Area"	96.9	97.1	99.6	85.1	96.1	100	80.3	97.9	84.7	17
310M400US14620	"Bradford, PA Micro Area"	91.1	91.1	92.7	88	80.9	100	91.8	92	91.5	26.8
310M400US14660	"Brainerd, MN Micro Area"	93.3	93.5	89.3	87.3	94.4	60	87.1	90	79.9	20.1
310M400US14700	"Branson, MO Micro Area"	88.6	88.7	73.9	84	76.7	100	75.1	67.5	71	28.6
310M400US14720	"Breckenridge, CO Micro Area"	96.2	96.7	13.8	100	100	100	50	100	70.1	4.8
310M400US14740	"Bremerton-Silverdale, WA Metro Area"	95.2	95.3	95.1	87.9	89.1	86.2	83.8	91.7	90	19
310M400US14780	"Brenham, TX Micro Area"	87.6	92.3	79.8	16.5	65.8	100	68	100	52	23.8
310M400US14820	"Brevard, NC Micro Area"	89.8	90.2	86.5	100	100		15.2	81	23.2	26.7
310M400US14860	"Bridgeport-Stamford-Norwalk, CT Metro Area"	92.8	95.5	86.3	72.9	90.3	84.9	60.4	87.3	69.8	21.7
310M400US15020	"Brookhaven, MS Micro Area"	88.3	88.2	82.8	0	67		-	100	100	34.3
310M400US15060	"Brookings, OR Micro Area"	89.5	90.2	100	83.1	100	100	30.3	89.1	71.7	33.9
310M400US15100	"Brookings, SD Micro Area"	95.9	96	87.7	95.4	95.1		31.6	72.8	81.3	15.3
310M400US15140	"Brownsville, TN Micro Area"	87.2	87.4	78.8	-	100	100	54	39.2	55.3	25.8
310M400US15180	"Brownsville-Harlingen, TX Metro Area"	67.5	92.8	81.2	75.8	83	100	52.3	71.8	63.1	37.7
310M400US15220	"Brownwood, TX Micro Area"	86.3	89.7	86.7	100	60.7		69.2	98.7	71	26.2
310M400US15260	"Brunswick, GA Metro Area"	88	89.1	80.7	91.9	91.7	100	84.7	88.3	67.1	34.1
310M400US15340	"Bucyrus, OH Micro Area"	90.5	90.7	72.2	100	92.8		66.7	85.2	75.2	22.1
310M400US15380	"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"	93.4	93.7	83.4	82.5	77.5	76.6	64.6	85.4	73.2	30.4
310M400US15420	"Burley, ID Micro Area"	81.6	90.7	100	84.1	81.2	76.9	48.5	66.4	51	21
310M400US15460	"Burlington, IA-IL Micro Area"	91.6	91.8	82.2	39.2	98.5		90.2	100	81.6	26.1
310M400US15500	"Burlington, NC Metro Area"	88.4	90.8	83.1	82	77.4	93.5	51.3	83.5	49.9	29
310M400US15540	"Burlington-South Burlington, VT Metro Area"	94.2	94.3	89.1	85.4	70	100	92.3	87.3	88.7	22.7
310M400US15580	"Butte-Silver Bow, MT Micro Area"	92.2	92.6	100	72.2	100		100	95.1	78.1	21.9
310M400US15620	"Cadillac, MI Micro Area"	89.5	89.6	67.6	77	91.9	100	40.7	95.3	74.8	26.8
310M400US15660	"Calhoun, GA Micro Area"	79.1	81.8	73.3	50.4	93	0	35.9	73.3	50.3	30.2
310M400US15680	"California-Lexington Park, MD Metro Area"	91.6	92	81.3	92.9	85.9	100	72.3	92.9	80.2	16.2
310M400US15700	"Cambridge, MD Micro Area"	89.8	90.1	80.8	100	73.4		68.9	83.6	73.1	29.7
310M400US15740	"Cambridge, OH Micro Area"	86.1	86	86.2	59.2	84.6		58.3	83.3	81.6	25.1
310M400US15780	"Camden, AR Micro Area"	88.2	88.5	79.3	76.4	100	100	100	84.9	70.9	36.3
310M400US15820	"Campbellsville, KY Micro Area"	86.3	86.3	86.1	-	100		72.2	53.1	81.5	31.5
310M400US15860	"Ca???on City, CO Micro Area"	91.5	93.1	79.2	72.6	97.6	100	73.2	80.9	77.8	27.2
310M400US15900	"Canton, IL Micro Area"	88.9	89.8	64.5	88.5	89.4	100	83.7	92.7	59.6	32.9
310M400US15940	"Canton-Massillon, OH Metro Area"	91.5	91.7	86.8	98.2	86.9	100	71	91.9	73.3	25.1
310M400US15980	"Cape Coral-Fort Myers, FL Metro Area"	89.6	93.1	76	92	89	78.6	63.4	82.3	69.6	22.3
310M400US16020	"Cape Girardeau, MO-IL Metro Area"	88.9	89.1	83.9	83.8	82.4	100	78.9	90.2	76.4	26.6
310M400US16060	"Carbondale-Marion, IL Metro Area"	91.9	92.1	91.6	72.7	89.7	100	66.2	95.4	78.9	30
310M400US16100	"Carlsbad-Artesia, NM Micro Area"	85.3	92.4	89	73.5	79.2		66.3	97.2	74.6	24.7
310M400US16140	"Carroll, IA Micro Area"	93.5	93.6	100	100	86.4		100	100	69.6	27.3
310M400US16180	"Carson City, NV Metro Area"	90.3	92.9	77.3	81.8	88.8	100	56.6	84.8	65.6	17.6
310M400US16220	"Casper, WY Metro Area"	92.8	93.5	87.7	81.3	94.4	100	64.4	85.7	80.8	18.3
310M400US16260	"Cedar City, UT Micro Area"	94.1	94.7	38	68.8	75.5	100	66.1	98.1	77.3	17.4
310M400US16300	"Cedar Rapids, IA Metro Area"	95.2	95.4	83.2	96.6	82.8	100	73.5	89.7	78.8	24.1
310M400US16340	"Cedartown, GA Micro Area"	81.1	82.6	79	52.4	100	41.7	49.6	92.4	48.4	26.3
310M400US16380	"Celina, OH Micro Area"	91.9	92	73.9	-	100	81.6	82.8	80.7	83.9	13.2
310M400US16420	"Central City, KY Micro Area"	80.3	80.3	86.9	62.3	93.9		100	68.4	64.6	29
310M400US16460	"Centralia, IL Micro Area"	88.9	88.9	78.4	70.2	100		99.6	94.8	98.5	30.2
310M400US16500	"Centralia, WA Micro Area"	88.5	90.4	93.8	80.9	84.4	82	45.1	86.6	54.4	22.8
310M400US16540	"Chambersburg-Waynesboro, PA Metro Area"	87.7	88.4	82	100	79	0	61.2	92.8	66.7	19.8
310M400US16580	"Champaign-Urbana, IL Metro Area"	95.8	96	87.4	90.6	94.1	100	70	97	85.6	28.2
310M400US16620	"Charleston, WV Metro Area"	86.4	86.3	93.9	55.7	92.2	100	85.6	84.6	90.6	28.3
310M400US16660	"Charleston-Mattoon, IL Micro Area"	90.6	90.6	79.9	90.7	99.4	61.4	53.6	90.8	75.9	37
310M400US16700	"Charleston-North Charleston, SC Metro Area"	93.4	94.2	84	90.9	87.2	100	67.7	87.2	72.4	28.2
310M400US16740	"Charlotte-Concord-Gastonia, NC-SC Metro Area"	90.5	92.2	88.1	68.1	84.6	88	57.3	88.9	63	25.6
310M400US16820	"Charlottesville, VA Metro Area"	91.1	91.5	80.9	84.5	87	64.1	68	92.2	76.1	22.1
310M400US16860	"Chattanooga, TN-GA Metro Area"	88	88.8	83.5	86	82.4	56.2	60.5	86.6	61.9	27.8
310M400US16940	"Cheyenne, WY Metro Area"	93.9	95.8	92.7	95.3	94.5	100	68.9	91.1	74.3	31.7
310M400US16980	"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"	91.1	94.9	87.4	74.7	90.8	85.6	60.5	89.1	66.7	22
