id	Geographic Area Name	EstimateMoved; within same countyPopulation 1 year and over	"EstimateMoved; from different county, same statePopulation 1 year and over"	EstimateMoved; from different  statePopulation 1 year and over	EstimateMoved; from abroadPopulation 1 year and over																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10100	"Aberdeen, SD Micro Area"	9.9	2.3	3.6	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10140	"Aberdeen, WA Micro Area"	8.1	5.4	2.1	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10180	"Abilene, TX Metro Area"	11.7	7.5	2.4	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10220	"Ada, OK Micro Area"	10.4	4.2	1.8	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10260	"Adjuntas, PR Micro Area"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
310M400US10300	"Adrian, MI Micro Area"	7.2	4.4	1.4	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10380	"Aguadilla-Isabela, PR Metro Area"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
310M400US10420	"Akron, OH Metro Area"	7.6	3.6	1.3	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10460	"Alamogordo, NM Micro Area"	7.4	1.9	7.1	3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10500	"Albany, GA Metro Area"	9.8	5.1	1.7	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10540	"Albany, OR Metro Area"	8.9	5.1	2.2	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10580	"Albany-Schenectady-Troy, NY Metro Area"	6.8	4.2	1.8	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10620	"Albemarle, NC Micro Area"	7.3	3.4	1	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10660	"Albert Lea, MN Micro Area"	8.4	3	0.9	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10700	"Albertville, AL Micro Area"	7.6	3.8	1.5	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10740	"Albuquerque, NM Metro Area"	8.6	2.4	2.7	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10760	"Alexander City, AL Micro Area"	4.2	3.2	2	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10780	"Alexandria, LA Metro Area"	7.1	2.7	2	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10820	"Alexandria, MN Micro Area"	6.3	4.7	1.1	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10860	"Alice, TX Micro Area"	5	3	0.3	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10900	"Allentown-Bethlehem-Easton, PA-NJ Metro Area"	6.8	2.9	2.2	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10940	"Alma, MI Micro Area"	7.7	5.4	0.8	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US10980	"Alpena, MI Micro Area"	7.9	4	0.9	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11020	"Altoona, PA Metro Area"	6.8	2.9	0.7	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11060	"Altus, OK Micro Area"	13	3.7	5.6	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11100	"Amarillo, TX Metro Area"	9.7	6.8	1.5	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11140	"Americus, GA Micro Area"	12	5.3	0.8	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11180	"Ames, IA Metro Area"	16.9	8.6	5.3	1.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11220	"Amsterdam, NY Micro Area"	7.3	3.3	1.2	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11260	"Anchorage, AK Metro Area"	11.5	2.3	4	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11380	"Andrews, TX Micro Area"	8.5	6.8	0.9	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11420	"Angola, IN Micro Area"	9	3.9	2.4	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11460	"Ann Arbor, MI Metro Area"	12	5.3	4.2	1.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11500	"Anniston-Oxford-Jacksonville, AL Metro Area"	10.6	3.9	2	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11540	"Appleton, WI Metro Area"	4.7	4	1	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11580	"Arcadia, FL Micro Area"	4.1	5.4	2	1.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11620	"Ardmore, OK Micro Area"	10.1	2.2	3	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11640	"Arecibo, PR Metro Area"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
310M400US11660	"Arkadelphia, AR Micro Area"	9	9.8	2.3	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11680	"Arkansas City-Winfield, KS Micro Area"	9.4	3.8	3	1.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11700	"Asheville, NC Metro Area"	6.7	3.1	3.3	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11740	"Ashland, OH Micro Area"	7.7	5.2	0.9	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11780	"Ashtabula, OH Micro Area"	7.7	2.8	1	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11820	"Astoria, OR Micro Area"	9.6	4.7	5.2	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11860	"Atchison, KS Micro Area"	9.1	2.6	3.6	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11900	"Athens, OH Micro Area"	12.8	13.4	3	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11940	"Athens, TN Micro Area"	6.3	3.9	2.1	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US11980	"Athens, TX Micro Area"	6.7	4.9	1.5	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12020	"Athens-Clarke County, GA Metro Area"	8.7	9.7	3	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12060	"Atlanta-Sandy Springs-Roswell, GA Metro Area"	7	4.8	2.7	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12100	"Atlantic City-Hammonton, NJ Metro Area"	8.4	2.5	1.7	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12120	"Atmore, AL Micro Area"	3.5	1.1	1.2	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12140	"Auburn, IN Micro Area"	7.7	3.5	1.3	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12180	"Auburn, NY Micro Area"	7.2	5	0.7	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12220	"Auburn-Opelika, AL Metro Area"	9.3	4.9	5.2	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12260	"Augusta-Richmond County, GA-SC Metro Area"	7	3	3.6	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12300	"Augusta-Waterville, ME Micro Area"	8.5	3.5	1.7	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US12380	"Austin, MN Micro Area"	8.7	3.4	2.6	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
